2017-08-13 16:33:19,273 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
 2017-08-13 16:33:19,285 - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
 2017-08-13 16:33:19,313 - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@28d25987, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4501b7af, org.springframework.test.context.support.DirtiesContextTestExecutionListener@523884b2, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5b275dab, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@61832929]
 2017-08-13 16:33:19,611 - Loading XML bean definitions from URL [file:/D:/EclipseWorkSpace/SpringFramework/SpringFramework/target/classes/applicationContext.xml]
 2017-08-13 16:33:20,736 - Loading XML bean definitions from URL [file:/D:/EclipseWorkSpace/SpringFramework/SpringFramework/target/classes/springPersistenceConfiguration.xml]
 2017-08-13 16:33:20,978 - Loading XML bean definitions from URL [file:/D:/EclipseWorkSpace/SpringFramework/SpringFramework/target/classes/springThreadpoolConfiguration.xml]
 2017-08-13 16:33:21,046 - Refreshing org.springframework.context.support.GenericApplicationContext@20322d26: startup date [Sun Aug 13 16:33:21 CST 2017]; root of context hierarchy
 2017-08-13 16:33:21,452 - Loading properties file from URL [file:/D:/EclipseWorkSpace/SpringFramework/SpringFramework/target/classes/dataSource.properties]
 2017-08-13 16:33:21,906 - Initializing ExecutorService  'taskExecutor'
 2017-08-13 16:33:22,164 - Loaded JDBC driver: com.mysql.cj.jdbc.Driver
 2017-08-13 16:33:22,726 - HHH000412: Hibernate Core {5.0.2.Final}
 2017-08-13 16:33:22,730 - HHH000206: hibernate.properties not found
 2017-08-13 16:33:22,736 - HHH000021: Bytecode provider name : javassist
 2017-08-13 16:33:22,878 - HCANN000001: Hibernate Commons Annotations {5.0.0.Final}
 2017-08-13 16:33:23,405 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
 2017-08-13 16:33:26,700 - http://paimai.jd.com/103427397, current thread:16
 2017-08-13 16:33:26,704 - http://paimai.jd.com/103468362, current thread:19
 2017-08-13 16:33:26,706 - http://paimai.jd.com/103427279, current thread:22
 2017-08-13 16:33:26,706 - http://paimai.jd.com/103505778, current thread:20
 2017-08-13 16:33:26,709 - http://paimai.jd.com/103427000, current thread:32
 2017-08-13 16:33:26,708 - http://paimai.jd.com/103468393, current thread:28
 2017-08-13 16:33:26,708 - http://paimai.jd.com/103468364, current thread:24
 2017-08-13 16:33:26,711 - http://paimai.jd.com/103480898, current thread:36
 2017-08-13 16:33:26,711 - http://paimai.jd.com/103505741, current thread:40
 2017-08-13 16:33:26,712 - http://paimai.jd.com/103520114, current thread:44
 2017-08-13 16:33:26,713 - http://paimai.jd.com/103509575, current thread:48
 2017-08-13 16:33:26,713 - http://paimai.jd.com/103505735, current thread:23
 2017-08-13 16:33:26,716 - http://paimai.jd.com/103509584, current thread:27
 2017-08-13 16:33:26,717 - http://paimai.jd.com/103468402, current thread:76
 2017-08-13 16:33:26,718 - http://paimai.jd.com/103468370, current thread:31
 2017-08-13 16:33:26,719 - http://paimai.jd.com/103468387, current thread:80
 2017-08-13 16:33:26,719 - http://paimai.jd.com/103506421, current thread:35
 2017-08-13 16:33:26,720 - http://paimai.jd.com/103506941, current thread:43
 2017-08-13 16:33:26,721 - http://paimai.jd.com/103506901, current thread:47
 2017-08-13 16:33:26,721 - http://paimai.jd.com/103506840, current thread:55
 2017-08-13 16:33:26,722 - http://paimai.jd.com/103509493, current thread:59
 2017-08-13 16:33:26,722 - http://paimai.jd.com/103506741, current thread:63
 2017-08-13 16:33:26,722 - http://paimai.jd.com/103506723, current thread:67
 2017-08-13 16:33:26,723 - http://paimai.jd.com/103506494, current thread:71
 2017-08-13 16:33:26,723 - http://paimai.jd.com/103468396, current thread:79
 2017-08-13 16:33:26,723 - http://paimai.jd.com/103468366, current thread:83
 2017-08-13 16:33:26,724 - http://paimai.jd.com/103426855, current thread:87
 2017-08-13 16:33:26,707 - http://paimai.jd.com/103506718, current thread:34
 2017-08-13 16:33:26,707 - http://paimai.jd.com/103427243, current thread:30
 2017-08-13 16:33:26,728 - http://paimai.jd.com/103520686, current thread:38
 2017-08-13 16:33:26,728 - http://paimai.jd.com/103332655, current thread:92
 2017-08-13 16:33:26,707 - http://paimai.jd.com/103468414, current thread:26
 2017-08-13 16:33:26,728 - http://paimai.jd.com/103520683, current thread:42
 2017-08-13 16:33:26,723 - http://paimai.jd.com/103468410, current thread:75
 2017-08-13 16:33:26,729 - http://paimai.jd.com/103509580, current thread:46
 2017-08-13 16:33:26,721 - http://paimai.jd.com/103506917, current thread:51
 2017-08-13 16:33:26,730 - http://paimai.jd.com/103506859, current thread:54
 2017-08-13 16:33:26,730 - http://paimai.jd.com/103506780, current thread:58
 2017-08-13 16:33:26,731 - http://paimai.jd.com/103506935, current thread:91
 2017-08-13 16:33:26,738 - http://paimai.jd.com/103520678, current thread:33
 2017-08-13 16:33:26,721 - http://paimai.jd.com/103426788, current thread:88
 2017-08-13 16:33:26,738 - http://paimai.jd.com/103426983, current thread:107
 2017-08-13 16:33:26,738 - http://paimai.jd.com/103506499, current thread:103
 2017-08-13 16:33:26,739 - http://paimai.jd.com/103426941, current thread:108
 2017-08-13 16:33:26,739 - http://paimai.jd.com/103435798, current thread:104
 2017-08-13 16:33:26,720 - http://paimai.jd.com/103520688, current thread:39
 2017-08-13 16:33:26,739 - http://paimai.jd.com/103506926, current thread:96
 2017-08-13 16:33:26,720 - http://paimai.jd.com/103435647, current thread:84
 2017-08-13 16:33:26,717 - http://paimai.jd.com/103506474, current thread:72
 2017-08-13 16:33:26,715 - http://paimai.jd.com/103506697, current thread:68
 2017-08-13 16:33:26,740 - http://paimai.jd.com/103427007, current thread:85
 2017-08-13 16:33:26,715 - http://paimai.jd.com/103506705, current thread:64
 2017-08-13 16:33:26,714 - http://paimai.jd.com/103506751, current thread:60
 2017-08-13 16:33:26,714 - http://paimai.jd.com/103506823, current thread:56
 2017-08-13 16:33:26,714 - http://paimai.jd.com/103509561, current thread:52
 2017-08-13 16:33:26,742 - http://paimai.jd.com/103061083, current thread:89
 2017-08-13 16:33:26,743 - http://paimai.jd.com/103468379, current thread:81
 2017-08-13 16:33:26,740 - http://paimai.jd.com/103506929, current thread:93
 2017-08-13 16:33:26,745 - http://paimai.jd.com/103468401, current thread:77
 2017-08-13 16:33:26,739 - http://paimai.jd.com/103506869, current thread:97
 2017-08-13 16:33:26,746 - http://paimai.jd.com/103506346, current thread:73
 2017-08-13 16:33:26,739 - http://paimai.jd.com/103506708, current thread:101
 2017-08-13 16:33:26,747 - http://paimai.jd.com/103506506, current thread:69
 2017-08-13 16:33:26,747 - http://paimai.jd.com/103506734, current thread:65
 2017-08-13 16:33:26,739 - http://paimai.jd.com/103426898, current thread:109
 2017-08-13 16:33:26,739 - http://paimai.jd.com/103435589, current thread:105
 2017-08-13 16:33:26,739 - http://paimai.jd.com/103374194, current thread:113
 2017-08-13 16:33:26,739 - http://paimai.jd.com/103506865, current thread:100
 2017-08-13 16:33:26,739 - http://paimai.jd.com/103374203, current thread:112
 2017-08-13 16:33:26,739 - http://paimai.jd.com/103506714, current thread:99
 2017-08-13 16:33:26,738 - http://paimai.jd.com/103426797, current thread:111
 2017-08-13 16:33:26,738 - http://paimai.jd.com/103506922, current thread:95
 2017-08-13 16:33:26,738 - http://paimai.jd.com/103426730, current thread:15
 2017-08-13 16:33:26,738 - http://paimai.jd.com/103426741, current thread:18
 2017-08-13 16:33:26,738 - http://paimai.jd.com/103073866, current thread:17
 2017-08-13 16:33:26,733 - http://paimai.jd.com/103427341, current thread:106
 2017-08-13 16:33:26,733 - http://paimai.jd.com/103506699, current thread:102
 2017-08-13 16:33:26,733 - http://paimai.jd.com/103506716, current thread:98
 2017-08-13 16:33:26,733 - http://paimai.jd.com/103506928, current thread:94
 2017-08-13 16:33:26,732 - http://paimai.jd.com/103074206, current thread:90
 2017-08-13 16:33:26,732 - http://paimai.jd.com/102908272, current thread:86
 2017-08-13 16:33:26,732 - http://paimai.jd.com/103468374, current thread:82
 2017-08-13 16:33:26,732 - http://paimai.jd.com/103468398, current thread:78
 2017-08-13 16:33:26,732 - http://paimai.jd.com/103506666, current thread:74
 2017-08-13 16:33:26,732 - http://paimai.jd.com/103506614, current thread:70
 2017-08-13 16:33:26,732 - http://paimai.jd.com/103506638, current thread:66
 2017-08-13 16:33:26,731 - http://paimai.jd.com/103506729, current thread:62
 2017-08-13 16:33:26,730 - http://paimai.jd.com/103509570, current thread:50
 2017-08-13 16:33:26,770 - http://paimai.jd.com/103426820, current thread:110
 2017-08-13 16:33:26,888 - http://paimai.jd.com/103506747, current thread:61
 2017-08-13 16:33:26,890 - http://paimai.jd.com/103506354, current thread:21
 2017-08-13 16:33:26,892 - http://paimai.jd.com/103506678, current thread:25
 2017-08-13 16:33:26,897 - http://paimai.jd.com/103506891, current thread:29
 2017-08-13 16:33:26,898 - http://paimai.jd.com/103506389, current thread:37
 2017-08-13 16:33:26,899 - http://paimai.jd.com/103520682, current thread:41
 2017-08-13 16:33:27,127 - http://paimai.jd.com/103506894, current thread:49
 2017-08-13 16:33:27,134 - http://paimai.jd.com/103506904, current thread:53
 2017-08-13 16:33:27,134 - http://paimai.jd.com/103506759, current thread:57
 2017-08-13 16:33:27,112 - http://paimai.jd.com/103506899, current thread:45
 2017-08-13 16:33:28,592 - http://paimai.jd.com/103523011, current thread:116
 2017-08-13 16:33:28,609 - http://paimai.jd.com/103523001, current thread:120
